Regioni,Somministrazioni,Dosi consegnate,Percentuale,Popolazione,Copertura,Copertura Teorica,Data
Abruzzo,685,7.935,8.6%,1305770,0.052%,0.608%,2020-01-02
Basilicata,303,4.980,6.1%,556934,0.054%,0.894%,2020-01-02
Calabria,448,12.955,3.5%,1924701,0.023%,0.673%,2020-01-02
Campania,6.671,33.870,19.7%,5785861,0.115%,0.585%,2020-01-02
Emilia-Romagna,5.504,43.875,12.5%,4467118,0.123%,0.982%,2020-01-02
Friuli-Venezia Giulia,3.160,11.965,26.4%,1211357,0.261%,0.988%,2020-01-02
Lazio,16.366,45.805,35.7%,5865544,0.279%,0.781%,2020-01-02
Liguria,1.889,15.920,11.9%,1543127,0.122%,1.032%,2020-01-02
Lombardia,2.446,80.595,3.0%,10103969,0.024%,0.798%,2020-01-02
Marche,953,8.975,10.6%,1518400,0.063%,0.591%,2020-01-02
Molise,50,2.975,1.7%,302265,0.017%,0.984%,2020-01-02
P.A. Bolzano,1.037,5.995,17.3%,520891,0.199%,1.151%,2020-01-02
P.A. Trento,2.138,4.975,43.0%,538223,0.397%,0.924%,2020-01-02
Piemontee,9.478,40.885,23.2%,4341375,0.218%,0.942%,2020-01-02
Puglia,4.607,25.855,17.8%,4008296,0.115%,0.645%,2020-01-02
Sardegna,302,12.855,2.3%,1630474,0.019%,0.788%,2020-01-02
Sicilia,2.471,46.510,5.3%,4968410,0.05%,0.936%,2020-01-02
Toscana,6.824,27.920,24.4%,3722729,0.183%,0.75%,2020-01-02
Umbria,980,4.960,19.8%,880285,0.111%,0.563%,2020-01-02
Valle d'AOsta,44,995,4.4%,125501,0.035%,0.793%,2020-01-02
Veneto,6.041,38.900,15.5%,4907704,0.123%,0.793%,2020-01-02
Totale,72397,479700,15.092%,60228934,0.12%,0.796%,2020-01-02
