Regioni,Somministrazioni,Dosi Consegnate,Percentuale,Popolazione,Copertura,Copertura Teorica,Data
Abruzzo,685,7.935,8,6%,1305770,0.052%,0.608%,2020-01-03
Basilicata,1.153,4.980,23,2%,556934,0.207%,0.894%,2020-01-03
Calabria,448,12.955,3,5%,1924701,0.023%,0.673%,2020-01-03
Campania,6.671,33.870,19,7%,5785861,0.115%,0.585%,2020-01-03
Emilia-Romagna,5.504,43.875,12,5%,4467118,0.123%,0.982%,2020-01-03
Friuli-Venezia Giulia,3.160,11.965,26,4%,1211357,0.261%,0.988%,2020-01-03
Lazio,17.374,45.805,37,9%,5865544,0.296%,0.781%,2020-01-03
Liguria,1.889,15.920,11,9%,1543127,0.122%,1.032%,2020-01-03
Lombardia,2.416,80.595,3,0%,10103969,0.024%,0.798%,2020-01-03
Marche,983,8.975,11,0%,1518400,0.065%,0.591%,2020-01-03
Molise,50,2.975,1,7%,302265,0.017%,0.984%,2020-01-03
P.A. Bolzano,1.037,5.995,17,3%,520891,0.199%,1.151%,2020-01-03
P.A. Trento,2.242,4.975,45,1%,538223,0.417%,0.924%,2020-01-03
Piemonte,9.719,40.885,23,8%,4341375,0.224%,0.942%,2020-01-03
Puglia,4.727,25.855,18,3%,4008296,0.118%,0.645%,2020-01-03
Sardegna,302,12.855,2,3%,1630474,0.019%,0.788%,2020-01-03
Sicilia,6.700,46.510,14,4%,4968410,0.135%,0.936%,2020-01-03
Toscana,6.824,27.920,24,4%,3722729,0.183%,0.75%,2020-01-03
Umbria,980,4.960,19,8%,880285,0.111%,0.563%,2020-01-03
Valle d'Aosta,44,995,4,4%,125501,0.035%,0.793%,2020-01-03
Veneto,11.119,38.900,28,6%,4907704,0.227%,0.793%,2020-01-03
Totale,84027,479700,17.517%,60228934,0.14%,0.796%,2020-01-03
