Regioni,Somministrazioni,Dosi Consegnate,Percentuale,Popolazione,Personale Sanitario,Copertura,Copertura Teorica,Data
Abruzzo,2.181,7.935,27.5%,1305770,10296,0.167%,0.608%,2020-01-04
Basilicata,1.912,4.980,38.4%,556934,4695,0.343%,0.894%,2020-01-04
Calabria,453,12.955,3.5%,1924701,13183,0.024%,0.673%,2020-01-04
Campania,10.745,33.870,31.7%,5785861,31503,0.186%,0.585%,2020-01-04
Emilia-Romagna,8.254,43.875,18.8%,4467118,40502,0.185%,0.982%,2020-01-04
Friuli-Venezia Giulia,3.471,11.965,29.0%,1211357,11905,0.287%,0.988%,2020-01-04
Lazio,25.470,45.805,55.6%,5865544,30589,0.434%,0.781%,2020-01-04
Liguria,3.739,15.920,23.5%,1543127,10752,0.242%,1.032%,2020-01-04
Lombardia,6.116,80.595,7.6%,10103969,59164,0.061%,0.798%,2020-01-04
Marche,2.084,8.975,23.2%,1518400,13019,0.137%,0.591%,2020-01-04
Molise,50,2.975,1.7%,302265,2105,0.017%,0.984%,2020-01-04
P.A. Bolzano,1.490,5.995,24.9%,520891,5530,0.286%,1.151%,2020-01-04
P.A. Trento,2.768,4.975,55.6%,538223,5226,0.514%,0.924%,2020-01-04
Piemonte,12.722,40.885,31.1%,4341375,36596,0.293%,0.942%,2020-01-04
Puglia,6.964,25.855,26.9%,4008296,25601,0.174%,0.645%,2020-01-04
Sardegna,392,12.855,3.0%,1630474,15403,0.024%,0.788%,2020-01-04
Sicilia,11.636,46.510,25.0%,4968410,30801,0.234%,0.936%,2020-01-04
Toscana,10.545,27.920,37.8%,3722729,35651,0.283%,0.75%,2020-01-04
Umbria,2.057,4.960,41.5%,880285,8164,0.234%,0.563%,2020-01-04
Valle d'Aosta,44,995,4.4%,125501,1364,0.035%,0.793%,2020-01-04
Veneto,15.787,38.900,40.6%,4907704,39443,0.322%,0.793%,2020-01-04
Totale,128880,479700,26.867%,60228934,431492,0.214%,0.796%,2020-01-04
