Regioni,Somministrazioni,Dosi Consegnate,Percentuale,Popolazione,Copertura,Copertura Teorica,Data
Abruzzo,135,7935,1.7%,1305770,0.01%,0.608%,2021-01-01
Basilicata,105,4980,2.1%,556934,0.019%,0.894%,2021-01-01
Calabria,279,12955,2.2%,1924701,0.014%,0.673%,2021-01-01
Campania,3111,33870,9.2%,5785861,0.054%,0.585%,2021-01-01
Emilia-Romagna,3161,43875,7.2%,4467118,0.071%,0.982%,2021-01-01
Friuli-Venezia Giulia,1948,11965,16.3%,1211357,0.161%,0.988%,2021-01-01
Lazio,9301,45805,20.3%,5865544,0.159%,0.781%,2021-01-01
Liguria,1269,15920,8.0%,1543127,0.082%,1.032%,2021-01-01
Lombardia,2171,80595,2.7%,10103969,0.021%,0.798%,2021-01-01
Marche,499,8975,5.6%,1518400,0.033%,0.591%,2021-01-01
Molise,50,2975,1.7%,302265,0.017%,0.984%,2021-01-01
P.A. Bolzano,971,5995,16.2%,520891,0.186%,1.151%,2021-01-01
P.A. Trento,1730,4975,34.89%,538223,0.321%,0.924%,2021-01-01
Piemonte,6024,40885,14.7%,4341375,0.139%,0.942%,2021-01-01
Puglia,1884,25855,7.3%,4008296,0.047%,0.645%,2021-01-01
Sardegna,242,12855,1.9%,1630474,0.015%,0.788%,2021-01-01
Sicilia,2471,46510,5.3%,4968410,0.05%,0.936%,2021-01-01
Toscana,3579,27920,12.8%,3722729,0.096%,0.75%,2021-01-01
Umbria,676,4960,13.6%,880285,0.077%,0.563%,2021-01-01
Valle d'Aosta,20,995,2.0%,125501,0.016%,0.793%,2021-01-01
Veneto,6041,38900,15.5%,4907704,0.123%,0.793%,2021-01-01
Totale,45667,479700,9.52%,60228934,0.076%,0.796%,2021-01-01
