Regioni,Somministrazioni,Dosi Consegnate,Percentuale,Popolazione,Copertura,Copertura Teorica,Data
Campania,3111,33870,9.2%,5785861,0.054%,0.585%,2021-01-01
Campania,6671,33870,19.7%,5785861,0.115%,0.585%,2021-01-02
Campania,10745,33870,31.7%,5785861,0.186%,0.585%,2021-01-03
Campania,16337,33870,48.2%,5785861,0.282%,0.585%,2021-01-04
Campania,23648,33870,69.8%,5785861,0.409%,0.585%,2021-01-05
Campania,29662,57270,51.8%,5785861,0.513%,0.99%,2021-01-06
Campania,40121,67020,59.9%,5785861,0.693%,1.158%,2021-01-07
Campania,50427,67020,75.2%,5785861,0.872%,1.158%,2021-01-08
Campania,60001,67020,89.5%,5785861,1.037%,1.158%,2021-01-09
Campania,68138,67020,101.7%,5785861,1.178%,1.158%,2021-01-10
Campania,72103,73845,97.6%,5785861,1.246%,1.276%,2021-01-11
