Regioni,Somministrazioni,Dosi Consegnate,Percentuale,Popolazione,Copertura,Copertura Teorica,Data
Friuli-Venezia Giulia,1948,11965,16.3%,1211357,0.161%,0.988%,2021-01-01
Friuli-Venezia Giulia,3160,11965,26.4%,1211357,0.261%,0.988%,2021-01-02
Friuli-Venezia Giulia,3471,11965,29.0%,1211357,0.287%,0.988%,2021-01-03
Friuli-Venezia Giulia,4963,11965,41.5%,1211357,0.41%,0.988%,2021-01-04
Friuli-Venezia Giulia,6585,11965,55.0%,1211357,0.544%,0.988%,2021-01-05
Friuli-Venezia Giulia,7293,19765,36.9%,1211357,0.602%,1.632%,2021-01-06
Friuli-Venezia Giulia,9381,24640,38.1%,1211357,0.774%,2.034%,2021-01-07
Friuli-Venezia Giulia,11527,24640,46.8%,1211357,0.952%,2.034%,2021-01-08
Friuli-Venezia Giulia,11527,24640,46.8%,1211357,0.952%,2.034%,2021-01-09
Friuli-Venezia Giulia,13822,24640,56.1%,1211357,1.141%,2.034%,2021-01-10
