Regioni,Somministrazioni,Dosi Consegnate,Percentuale,Popolazione,Copertura,Copertura Teorica,Data
Liguria,1269,15920,8.0%,1543127,0.082%,1.032%,2021-01-01
Liguria,1889,15920,11.9%,1543127,0.122%,1.032%,2021-01-02
Liguria,2582,15920,16.2%,1543127,0.167%,1.032%,2021-01-03
Liguria,4875,15920,30.6%,1543127,0.316%,1.032%,2021-01-04
Liguria,7831,15920,49.2%,1543127,0.507%,1.032%,2021-01-05
Liguria,9109,28595,31.9%,1543127,0.59%,1.853%,2021-01-06
Liguria,13083,30545,42.8%,1543127,0.848%,1.979%,2021-01-07
Liguria,15897,30545,52.0%,1543127,1.03%,1.979%,2021-01-08
Liguria,16830,30545,55.1%,1543127,1.091%,1.979%,2021-01-09
Liguria,17327,30545,56.7%,1543127,1.123%,1.979%,2021-01-10
Liguria,19353,33470,57.8%,1543127,1.254%,2.169%,2021-01-11
Liguria,20225,33470,60.4%,1543127,1.311%,2.169%,2021-01-12
