Regioni,Somministrazioni,Dosi Consegnate,Percentuale,Popolazione,Copertura,Copertura Teorica,Data
Lombardia,2171,80595,2.7%,10103969,0.021%,0.798%,2021-01-01
Lombardia,2446,80595,3.0%,10103969,0.024%,0.798%,2021-01-02
Lombardia,3126,80595,3.9%,10103969,0.031%,0.798%,2021-01-03
Lombardia,9167,80595,11.4%,10103969,0.091%,0.798%,2021-01-04
Lombardia,17256,80595,21.4%,10103969,0.171%,0.798%,2021-01-05
Lombardia,23641,109845,21.5%,10103969,0.234%,1.087%,2021-01-06
Lombardia,34417,153720,22.4%,10103969,0.341%,1.521%,2021-01-07
Lombardia,46257,153720,30.1%,10103969,0.458%,1.521%,2021-01-08
Lombardia,58310,153720,37.9%,10103969,0.577%,1.521%,2021-01-09
Lombardia,67851,153720,44.1%,10103969,0.672%,1.521%,2021-01-10
Lombardia,69712,153720,45.3%,10103969,0.69%,1.521%,2021-01-11
