Regioni,Somministrazioni,Dosi Consegnate,Percentuale,Popolazione,Copertura,Copertura Teorica,Data
Marche,499,8975,5.6%,1518400,0.033%,0.591%,2021-01-01
Marche,953,8975,10.6%,1518400,0.063%,0.591%,2021-01-02
Marche,1727,8975,19.2%,1518400,0.114%,0.591%,2021-01-03
Marche,2385,8975,26.6%,1518400,0.157%,0.591%,2021-01-04
Marche,4801,8975,53.5%,1518400,0.316%,0.591%,2021-01-05
Marche,6984,15800,44.2%,1518400,0.46%,1.041%,2021-01-06
Marche,9012,17750,50.8%,1518400,0.594%,1.169%,2021-01-07
Marche,10659,17750,60.1%,1518400,0.702%,1.169%,2021-01-08
Marche,12370,17750,69.7%,1518400,0.815%,1.169%,2021-01-09
Marche,14130,17750,79.6%,1518400,0.931%,1.169%,2021-01-10
Marche,14489,17750,81.6%,1518400,0.954%,1.169%,2021-01-11
Marche,16182,27500,58.8%,5865544,0.276%,0.469%,2021-01-12
Marche,17494,27500,63.6%,5865544,0.298%,0.469%,2021-01-13
