Regioni,Somministrazioni,Dosi Consegnate,Percentuale,Popolazione,Copertura,Copertura Teorica,Data
P.A. Bolzano,971,5995,16.2%,520891,0.186%,1.151%,2021-01-01
P.A. Bolzano,1037,5995,17.3%,520891,0.199%,1.151%,2021-01-02
P.A. Bolzano,1037,5995,17.3%,520891,0.199%,1.151%,2021-01-03
P.A. Bolzano,1490,5995,24.9%,520891,0.286%,1.151%,2021-01-04
P.A. Bolzano,2283,5995,38.1%,520891,0.438%,1.151%,2021-01-05
P.A. Bolzano,2343,6970,33.6%,520891,0.45%,1.338%,2021-01-06
P.A. Bolzano,3061,6970,43.9%,520891,0.588%,1.338%,2021-01-07
P.A. Bolzano,4135,13795,30.0%,520891,0.794%,2.648%,2021-01-08
P.A. Bolzano,4795,13795,34.8%,520891,0.921%,2.648%,2021-01-09
P.A. Bolzano,4795,13795,34.8%,520891,0.921%,2.648%,2021-01-10
P.A. Bolzano,6078,20620,29.5%,520891,1.167%,3.959%,2021-01-11
P.A. Bolzano,7746,20620,37.6%,125501,6.172%,16.43%,2021-01-12
P.A. Bolzano,9433,20620,45.7%,880285,1.072%,2.342%,2021-01-13
