Regioni,Somministrazioni,Dosi Consegnate,Percentuale,Popolazione,Copertura,Copertura Teorica,Data
Piemonte,6024,40885,14.7%,4341375,0.139%,0.942%,2021-01-01
Piemonte,9478,40885,23.2%,4341375,0.218%,0.942%,2021-01-02
Piemonte,12604,40885,30.8%,4341375,0.29%,0.942%,2021-01-03
Piemonte,17473,40885,42.7%,4341375,0.402%,0.942%,2021-01-04
Piemonte,22691,40885,55.5%,4341375,0.523%,0.942%,2021-01-05
Piemonte,25690,61360,41.9%,4341375,0.592%,1.413%,2021-01-06
Piemonte,30602,82810,37.0%,4341375,0.705%,1.907%,2021-01-07
Piemonte,36526,82810,44.1%,4341375,0.841%,1.907%,2021-01-08
Piemonte,43068,82810,52.0%,4341375,0.992%,1.907%,2021-01-09
Piemonte,47335,82810,57.2%,4341375,1.09%,1.907%,2021-01-10
Piemonte,57292,82810,69.2%,4341375,1.32%,1.907%,2021-01-11
