Regioni,Somministrazioni,Dosi Consegnate,Percentuale,Popolazione,Copertura,Copertura Teorica,Data
Puglia,1884,25855,7.3%,4008296,0.047%,0.645%,2021-01-01
Puglia,4607,25855,17.8%,4008296,0.115%,0.645%,2021-01-02
Puglia,6802,25855,26.3%,4008296,0.17%,0.645%,2021-01-03
Puglia,10251,25855,39.6%,4008296,0.256%,0.645%,2021-01-04
Puglia,16069,25855,62.2%,4008296,0.401%,0.645%,2021-01-05
Puglia,19191,31705,60.5%,4008296,0.479%,0.791%,2021-01-06
Puglia,24734,48280,51.2%,4008296,0.617%,1.205%,2021-01-07
Puglia,29650,48280,61.4%,4008296,0.74%,1.205%,2021-01-08
Puglia,29722,48280,61.6%,4008296,0.742%,1.205%,2021-01-09
Puglia,36383,48280,75.4%,4008296,0.908%,1.205%,2021-01-10
Puglia,36808,74605,49.3%,4008296,0.918%,1.861%,2021-01-11
Puglia,43520,74605,58.3%,1543127,2.82%,4.835%,2021-01-12
Puglia,43520,74605,58.3%,1543127,2.82%,4.835%,2021-01-13
