Regioni,Somministrazioni,Dosi Consegnate,Percentuale,Popolazione,Copertura,Copertura Teorica,Data
Sicilia,2471,46510,5.3%,4968410,0.05%,0.936%,2021-01-01
Sicilia,2471,46510,5.3%,4968410,0.05%,0.936%,2021-01-02
Sicilia,11636,46510,25.0%,4968410,0.234%,0.936%,2021-01-03
Sicilia,18705,46510,40.2%,4968410,0.376%,0.936%,2021-01-04
Sicilia,29258,46510,62.9%,4968410,0.589%,0.936%,2021-01-05
Sicilia,35361,78685,44.9%,4968410,0.712%,1.584%,2021-01-06
Sicilia,44211,78685,56.2%,4968410,0.89%,1.584%,2021-01-07
Sicilia,51558,78685,65.5%,4968410,1.038%,1.584%,2021-01-08
Sicilia,58584,78685,74.5%,4968410,1.179%,1.584%,2021-01-09
Sicilia,61694,78685,78.4%,4968410,1.242%,1.584%,2021-01-10
Sicilia,66799,78685,84.9%,4968410,1.344%,1.584%,2021-01-11
Sicilia,69448,125485,55.3%,520891,13.333%,24.09%,2021-01-12
Sicilia,69448,125485,55.3%,520891,13.333%,24.09%,2021-01-13
