Regioni,Somministrazioni,Dosi Consegnate,Percentuale,Popolazione,Copertura,Copertura Teorica,Data
Totale,45667,479700,9.52%,60228934,0.076%,0.796%,2021-01-01
Totale,72397,479700,15.092%,60228934,0.12%,0.796%,2021-01-02
Totale,118554,479700,24.714%,60228934,0.197%,0.796%,2021-01-03
Totale,178939,479700,37.302%,60228934,0.297%,0.796%,2021-01-04
Totale,259481,479700,54.092%,60228934,0.431%,0.796%,2021-01-05
Totale,321077,695175,46.186%,60228934,0.533%,1.154%,2021-01-06
Totale,412619,918450,44.926%,60228934,0.685%,1.525%,2021-01-07
Totale,504587,918450,54.939%,60228934,0.838%,1.525%,2021-01-08
Totale,583050,918450,63.482%,60228934,0.968%,1.525%,2021-01-09
Totale,643219,918450,70.033%,60228934,1.068%,1.525%,2021-01-10
Totale,654362,918450,71.246%,60228934,1.086%,1.525%,2021-01-11
