Regioni,Somministrazioni,Dosi Consegnate,Percentuale,Popolazione,Copertura,Copertura Teorica,Data
Umbria,676,4960,13.6%,880285,0.077%,0.563%,2021-01-01
Umbria,980,4960,19.8%,880285,0.111%,0.563%,2021-01-02
Umbria,1250,4960,25.2%,880285,0.142%,0.563%,2021-01-03
Umbria,2057,4960,41.5%,880285,0.234%,0.563%,2021-01-04
Umbria,2913,4960,58.7%,880285,0.331%,0.563%,2021-01-05
Umbria,3759,9835,38.2%,880285,0.427%,1.117%,2021-01-06
Umbria,4919,9835,50.0%,880285,0.559%,1.117%,2021-01-07
Umbria,6142,9835,62.5%,880285,0.698%,1.117%,2021-01-08
Umbria,7706,9835,78.4%,880285,0.875%,1.117%,2021-01-09
Umbria,8917,9835,90.7%,880285,1.013%,1.117%,2021-01-10
