Regioni,Somministrazioni,Dosi Consegnate,Percentuale,Popolazione,Copertura,Copertura Teorica,Data
Veneto,6041,38900,15.5%,4907704,0.123%,0.793%,2021-01-01
Veneto,6041,38900,15.5%,4907704,0.123%,0.793%,2021-01-02
Veneto,15776,38900,40.6%,4907704,0.321%,0.793%,2021-01-03
Veneto,21626,38900,55.6%,4907704,0.441%,0.793%,2021-01-04
Veneto,28711,38900,73.8%,4907704,0.585%,0.793%,2021-01-05
Veneto,36929,43775,84.4%,4907704,0.752%,0.892%,2021-01-06
Veneto,45919,77900,58.9%,4907704,0.936%,1.587%,2021-01-07
Veneto,55922,77900,71.8%,4907704,1.139%,1.587%,2021-01-08
Veneto,63690,77900,81.8%,4907704,1.298%,1.587%,2021-01-09
Veneto,68480,77900,87.9%,4907704,1.395%,1.587%,2021-01-10
Veneto,75214,77900,96.6%,4907704,1.533%,1.587%,2021-01-11
Veneto,80440,116900,68.8%,1924701,4.179%,6.074%,2021-01-12
Veneto,85387,116900,73.0%,556934,15.332%,20.99%,2021-01-13
